Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
四川广元,China,11/02/2020 14:22,6,1,0,2020-02-11 14:22:13,32.4329637,105.8563402
四川资阳,China,11/02/2020 14:22,3,1,0,2020-02-11 14:22:13,30.1235983,104.64811440000001
四川乐山,China,11/02/2020 14:22,3,0,0,2020-02-11 14:22:13,29.5608755,103.76199220000001
四川阿坝,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,32.41875,102.63663829999999
黑龙江哈尔滨,China,11/02/2020 14:22,146,15,0,2020-02-11 14:22:13,45.75,126.65
黑龙江绥化,China,11/02/2020 14:22,39,3,4,2020-02-11 14:22:13,46.639540000000004,126.99508
黑龙江鸡西,China,11/02/2020 14:22,38,1,0,2020-02-11 14:22:13,45.30109,130.95718
黑龙江双鸭山,China,11/02/2020 14:22,38,1,2,2020-02-11 14:22:13,46.52272,132.64552
黑龙江齐齐哈尔,China,11/02/2020 14:22,32,0,1,2020-02-11 14:22:13,47.34088,123.96045
黑龙江七台河,China,11/02/2020 14:22,15,0,0,2020-02-11 14:22:13,45.80738,131.0936
黑龙江佳木斯,China,11/02/2020 14:22,15,5,0,2020-02-11 14:22:13,46.79927,130.31633
黑龙江大庆,China,11/02/2020 14:22,14,0,1,2020-02-11 14:22:13,46.58333,125.0
黑龙江牡丹江,China,11/02/2020 14:22,12,1,0,2020-02-11 14:22:13,44.58333,129.6
黑龙江鹤岗,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,47.35118,130.30012
黑龙江黑河,China,11/02/2020 14:22,4,0,0,2020-02-11 14:22:13,50.24413,127.49016
黑龙江大兴安岭,China,11/02/2020 14:22,2,0,0,2020-02-11 14:22:13,52.36534,124.96116
北京海淀,China,11/02/2020 14:22,57,0,0,2020-02-11 14:22:13,39.99064,116.28868
北京朝阳,China,11/02/2020 14:22,56,0,0,2020-02-11 14:22:13,39.91812,116.43242
北京西城,China,11/02/2020 14:22,39,0,0,2020-02-11 14:22:13,39.91222,116.35615
北京大兴,China,11/02/2020 14:22,36,0,0,2020-02-11 14:22:13,39.74025,116.32693
北京丰台,China,11/02/2020 14:22,30,0,0,2020-02-11 14:22:13,39.8469617,116.2826365
北京外地来京,China,11/02/2020 14:22,25,0,0,2020-02-11 14:22:13,39.9075,116.39723000000001
北京昌平,China,11/02/2020 14:22,19,0,0,2020-02-11 14:22:13,40.1888523,116.18719409999999
北京通州,China,11/02/2020 14:22,17,0,0,2020-02-11 14:22:13,25.7716,106.973
北京房山,China,11/02/2020 14:22,14,0,0,2020-02-11 14:22:13,39.706587299999995,115.9866591
北京石景山,China,11/02/2020 14:22,13,0,0,2020-02-11 14:22:13,39.9172071,116.1417554
北京顺义,China,11/02/2020 14:22,10,0,0,2020-02-11 14:22:13,40.1288708,116.65118329999999
北京东城,China,11/02/2020 14:22,9,0,0,2020-02-11 14:22:13,40.4950646,116.4744338
北京怀柔,China,11/02/2020 14:22,7,0,0,2020-02-11 14:22:13,40.3160253,116.6434696
北京密云,China,11/02/2020 14:22,6,0,0,2020-02-11 14:22:13,40.3751032,116.8371838
北京门头沟,China,11/02/2020 14:22,3,0,0,2020-02-11 14:22:13,39.9310848,116.05936070000001
北京延庆,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,40.4568127,115.9705791
北京地区待确认,China,11/02/2020 14:22,0,48,3,2020-02-11 14:22:13,39.9075,116.39723000000001
上海外地来沪,China,11/02/2020 14:22,98,26,0,2020-02-11 14:22:13,31.22222,121.45806
上海浦东,China,11/02/2020 14:22,56,10,0,2020-02-11 14:22:13,31.2217826,121.53874009999998
上海宝山,China,11/02/2020 14:22,20,0,0,2020-02-11 14:22:13,31.406633799999998,121.4851577
上海闵行,China,11/02/2020 14:22,17,2,0,2020-02-11 14:22:13,31.114766600000003,121.3769429
上海静安,China,11/02/2020 14:22,16,3,0,2020-02-11 14:22:13,31.22,121.41583
上海徐汇,China,11/02/2020 14:22,16,1,0,2020-02-11 14:22:13,31.162209999999998,121.43211869999999
上海松江,China,11/02/2020 14:22,14,0,0,2020-02-11 14:22:13,31.029593300000002,121.2108375
上海长宁,China,11/02/2020 14:22,11,3,0,2020-02-11 14:22:13,31.209276199999998,121.38998590000001
上海奉贤,China,11/02/2020 14:22,9,1,0,2020-02-11 14:22:13,30.920448699999998,121.4693834
上海普陀,China,11/02/2020 14:22,8,0,0,2020-02-11 14:22:13,31.251326300000002,121.3912291
上海杨浦,China,11/02/2020 14:22,8,0,0,2020-02-11 14:22:13,31.262011199999996,121.5214305
上海嘉定,China,11/02/2020 14:22,8,1,0,2020-02-11 14:22:13,31.383895799999998,121.2461723
上海虹口,China,11/02/2020 14:22,7,2,0,2020-02-11 14:22:13,31.266703000000003,121.501751
上海黄浦,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,22.7269545,113.3892574
上海青浦,China,11/02/2020 14:22,5,2,0,2020-02-11 14:22:13,31.1521636,121.1195519
上海金山,China,11/02/2020 14:22,3,0,0,2020-02-11 14:22:13,30.744816999999998,121.3372571
上海崇明,China,11/02/2020 14:22,2,0,0,2020-02-11 14:22:13,31.631339299999997,121.5337768
